"Country","Country_Code","Year","Age","Percentage"
"Djibouti","DJI",2015,"0",1.078
"Djibouti","DJI",2015,"1",0.142
"Djibouti","DJI",2015,"2",0.129
"Djibouti","DJI",2015,"3",0.118
"Djibouti","DJI",2015,"4",0.106
"Djibouti","DJI",2015,"5",0.095
"Djibouti","DJI",2015,"6",0.084
"Djibouti","DJI",2015,"7",0.073
"Djibouti","DJI",2015,"8",0.063
"Djibouti","DJI",2015,"9",0.055
"Djibouti","DJI",2015,"10",0.049
"Djibouti","DJI",2015,"11",0.046
"Djibouti","DJI",2015,"12",0.044
"Djibouti","DJI",2015,"13",0.043
"Djibouti","DJI",2015,"14",0.044
"Djibouti","DJI",2015,"15",0.047
"Djibouti","DJI",2015,"16",0.051
"Djibouti","DJI",2015,"17",0.055
"Djibouti","DJI",2015,"18",0.059
"Djibouti","DJI",2015,"19",0.064
"Djibouti","DJI",2015,"20",0.068
"Djibouti","DJI",2015,"21",0.07
"Djibouti","DJI",2015,"22",0.071
"Djibouti","DJI",2015,"23",0.071
"Djibouti","DJI",2015,"24",0.07
"Djibouti","DJI",2015,"25",0.069
"Djibouti","DJI",2015,"26",0.068
"Djibouti","DJI",2015,"27",0.067
"Djibouti","DJI",2015,"28",0.067
"Djibouti","DJI",2015,"29",0.066
"Djibouti","DJI",2015,"30",0.066
"Djibouti","DJI",2015,"31",0.066
"Djibouti","DJI",2015,"32",0.066
"Djibouti","DJI",2015,"33",0.066
"Djibouti","DJI",2015,"34",0.066
"Djibouti","DJI",2015,"35",0.067
"Djibouti","DJI",2015,"36",0.068
"Djibouti","DJI",2015,"37",0.069
"Djibouti","DJI",2015,"38",0.07
"Djibouti","DJI",2015,"39",0.072
"Djibouti","DJI",2015,"40",0.074
"Djibouti","DJI",2015,"41",0.075
"Djibouti","DJI",2015,"42",0.075
"Djibouti","DJI",2015,"43",0.075
"Djibouti","DJI",2015,"44",0.074
"Djibouti","DJI",2015,"45",0.073
"Djibouti","DJI",2015,"46",0.072
"Djibouti","DJI",2015,"47",0.072
"Djibouti","DJI",2015,"48",0.072
"Djibouti","DJI",2015,"49",0.074
"Djibouti","DJI",2015,"50",0.075
"Djibouti","DJI",2015,"51",0.077
"Djibouti","DJI",2015,"52",0.078
"Djibouti","DJI",2015,"53",0.079
"Djibouti","DJI",2015,"54",0.078
"Djibouti","DJI",2015,"55",0.078
"Djibouti","DJI",2015,"56",0.078
"Djibouti","DJI",2015,"57",0.078
"Djibouti","DJI",2015,"58",0.079
"Djibouti","DJI",2015,"59",0.081
"Djibouti","DJI",2015,"60",0.083
"Djibouti","DJI",2015,"61",0.086
