"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
0.688248,0.688248,0.688248,0.688248,0.688248,0.339816,0.339816,0.339816,0.339816,0.339816,0.22418,0.22418,0.22418,0.22418,0.22418,0.317464,0.317464,0.317464,0.317464,0.317464,0.429172,0.429172,0.429172,0.429172,0.429172,0.472264,0.472264,0.472264,0.472264,0.472264,0.412364,0.412364,0.412364,0.412364,0.412364,0.302948,0.302948,0.302948,0.302948,0.302948,0.201252,0.201252,0.201252,0.201252,0.201252,0.554768,0.554768,0.554768,0.554768,0.554768,0.201892,0.201892,0.201892,0.201892,0.201892,0.157616,0.157616,0.157616,0.157616,0.157616,0.108376,0.108376,0.108376,0.108376,0.108376,0.085828,0.085828,0.085828,0.085828,0.085828,0.065256,0.065256,0.065256,0.065256,0.065256,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024
0.688248,0.688248,0.688248,0.688248,0.688248,0.339816,0.339816,0.339816,0.339816,0.339816,0.22418,0.22418,0.22418,0.22418,0.22418,0.317464,0.317464,0.317464,0.317464,0.317464,0.429172,0.429172,0.429172,0.429172,0.429172,0.472264,0.472264,0.472264,0.472264,0.472264,0.412364,0.412364,0.412364,0.412364,0.412364,0.302948,0.302948,0.302948,0.302948,0.302948,0.201252,0.201252,0.201252,0.201252,0.201252,0.554768,0.554768,0.554768,0.554768,0.554768,0.201892,0.201892,0.201892,0.201892,0.201892,0.157616,0.157616,0.157616,0.157616,0.157616,0.108376,0.108376,0.108376,0.108376,0.108376,0.085828,0.085828,0.085828,0.085828,0.085828,0.065256,0.065256,0.065256,0.065256,0.065256,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024
0.688248,0.688248,0.688248,0.688248,0.688248,0.339816,0.339816,0.339816,0.339816,0.339816,0.22418,0.22418,0.22418,0.22418,0.22418,0.317464,0.317464,0.317464,0.317464,0.317464,0.429172,0.429172,0.429172,0.429172,0.429172,0.472264,0.472264,0.472264,0.472264,0.472264,0.412364,0.412364,0.412364,0.412364,0.412364,0.302948,0.302948,0.302948,0.302948,0.302948,0.201252,0.201252,0.201252,0.201252,0.201252,0.554768,0.554768,0.554768,0.554768,0.554768,0.201892,0.201892,0.201892,0.201892,0.201892,0.157616,0.157616,0.157616,0.157616,0.157616,0.108376,0.108376,0.108376,0.108376,0.108376,0.085828,0.085828,0.085828,0.085828,0.085828,0.065256,0.065256,0.065256,0.065256,0.065256,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024
0.688248,0.688248,0.688248,0.688248,0.688248,0.339816,0.339816,0.339816,0.339816,0.339816,0.22418,0.22418,0.22418,0.22418,0.22418,0.317464,0.317464,0.317464,0.317464,0.317464,0.429172,0.429172,0.429172,0.429172,0.429172,0.472264,0.472264,0.472264,0.472264,0.472264,0.412364,0.412364,0.412364,0.412364,0.412364,0.302948,0.302948,0.302948,0.302948,0.302948,0.201252,0.201252,0.201252,0.201252,0.201252,0.554768,0.554768,0.554768,0.554768,0.554768,0.201892,0.201892,0.201892,0.201892,0.201892,0.157616,0.157616,0.157616,0.157616,0.157616,0.108376,0.108376,0.108376,0.108376,0.108376,0.085828,0.085828,0.085828,0.085828,0.085828,0.065256,0.065256,0.065256,0.065256,0.065256,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024
0.688248,0.688248,0.688248,0.688248,0.688248,0.339816,0.339816,0.339816,0.339816,0.339816,0.22418,0.22418,0.22418,0.22418,0.22418,0.317464,0.317464,0.317464,0.317464,0.317464,0.429172,0.429172,0.429172,0.429172,0.429172,0.472264,0.472264,0.472264,0.472264,0.472264,0.412364,0.412364,0.412364,0.412364,0.412364,0.302948,0.302948,0.302948,0.302948,0.302948,0.201252,0.201252,0.201252,0.201252,0.201252,0.554768,0.554768,0.554768,0.554768,0.554768,0.201892,0.201892,0.201892,0.201892,0.201892,0.157616,0.157616,0.157616,0.157616,0.157616,0.108376,0.108376,0.108376,0.108376,0.108376,0.085828,0.085828,0.085828,0.085828,0.085828,0.065256,0.065256,0.065256,0.065256,0.065256,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024,0.057024
0.625464,0.625464,0.625464,0.625464,0.625464,0.66828,0.66828,0.66828,0.66828,0.66828,0.259172,0.259172,0.259172,0.259172,0.259172,0.17756,0.17756,0.17756,0.17756,0.17756,0.368156,0.368156,0.368156,0.368156,0.368156,0.502152,0.502152,0.502152,0.502152,0.502152,0.49876,0.49876,0.49876,0.49876,0.49876,0.452952,0.452952,0.452952,0.452952,0.452952,0.255616,0.255616,0.255616,0.255616,0.255616,2.350052,2.350052,2.350052,2.350052,2.350052,0.192508,0.192508,0.192508,0.192508,0.192508,0.151828,0.151828,0.151828,0.151828,0.151828,0.117668,0.117668,0.117668,0.117668,0.117668,0.088004,0.088004,0.088004,0.088004,0.088004,0.065672,0.065672,0.065672,0.065672,0.065672,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706
0.625464,0.625464,0.625464,0.625464,0.625464,0.66828,0.66828,0.66828,0.66828,0.66828,0.259172,0.259172,0.259172,0.259172,0.259172,0.17756,0.17756,0.17756,0.17756,0.17756,0.368156,0.368156,0.368156,0.368156,0.368156,0.502152,0.502152,0.502152,0.502152,0.502152,0.49876,0.49876,0.49876,0.49876,0.49876,0.452952,0.452952,0.452952,0.452952,0.452952,0.255616,0.255616,0.255616,0.255616,0.255616,2.350052,2.350052,2.350052,2.350052,2.350052,0.192508,0.192508,0.192508,0.192508,0.192508,0.151828,0.151828,0.151828,0.151828,0.151828,0.117668,0.117668,0.117668,0.117668,0.117668,0.088004,0.088004,0.088004,0.088004,0.088004,0.065672,0.065672,0.065672,0.065672,0.065672,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706
0.625464,0.625464,0.625464,0.625464,0.625464,0.66828,0.66828,0.66828,0.66828,0.66828,0.259172,0.259172,0.259172,0.259172,0.259172,0.17756,0.17756,0.17756,0.17756,0.17756,0.368156,0.368156,0.368156,0.368156,0.368156,0.502152,0.502152,0.502152,0.502152,0.502152,0.49876,0.49876,0.49876,0.49876,0.49876,0.452952,0.452952,0.452952,0.452952,0.452952,0.255616,0.255616,0.255616,0.255616,0.255616,2.350052,2.350052,2.350052,2.350052,2.350052,0.192508,0.192508,0.192508,0.192508,0.192508,0.151828,0.151828,0.151828,0.151828,0.151828,0.117668,0.117668,0.117668,0.117668,0.117668,0.088004,0.088004,0.088004,0.088004,0.088004,0.065672,0.065672,0.065672,0.065672,0.065672,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706
0.625464,0.625464,0.625464,0.625464,0.625464,0.66828,0.66828,0.66828,0.66828,0.66828,0.259172,0.259172,0.259172,0.259172,0.259172,0.17756,0.17756,0.17756,0.17756,0.17756,0.368156,0.368156,0.368156,0.368156,0.368156,0.502152,0.502152,0.502152,0.502152,0.502152,0.49876,0.49876,0.49876,0.49876,0.49876,0.452952,0.452952,0.452952,0.452952,0.452952,0.255616,0.255616,0.255616,0.255616,0.255616,2.350052,2.350052,2.350052,2.350052,2.350052,0.192508,0.192508,0.192508,0.192508,0.192508,0.151828,0.151828,0.151828,0.151828,0.151828,0.117668,0.117668,0.117668,0.117668,0.117668,0.088004,0.088004,0.088004,0.088004,0.088004,0.065672,0.065672,0.065672,0.065672,0.065672,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706
0.625464,0.625464,0.625464,0.625464,0.625464,0.66828,0.66828,0.66828,0.66828,0.66828,0.259172,0.259172,0.259172,0.259172,0.259172,0.17756,0.17756,0.17756,0.17756,0.17756,0.368156,0.368156,0.368156,0.368156,0.368156,0.502152,0.502152,0.502152,0.502152,0.502152,0.49876,0.49876,0.49876,0.49876,0.49876,0.452952,0.452952,0.452952,0.452952,0.452952,0.255616,0.255616,0.255616,0.255616,0.255616,2.350052,2.350052,2.350052,2.350052,2.350052,0.192508,0.192508,0.192508,0.192508,0.192508,0.151828,0.151828,0.151828,0.151828,0.151828,0.117668,0.117668,0.117668,0.117668,0.117668,0.088004,0.088004,0.088004,0.088004,0.088004,0.065672,0.065672,0.065672,0.065672,0.065672,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706,0.05706
