"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
1.230164,1.230164,1.230164,1.230164,1.230164,0.426708,0.426708,0.426708,0.426708,0.426708,0.270304,0.270304,0.270304,0.270304,0.270304,0.381248,0.381248,0.381248,0.381248,0.381248,0.493484,0.493484,0.493484,0.493484,0.493484,0.441548,0.441548,0.441548,0.441548,0.441548,0.324352,0.324352,0.324352,0.324352,0.324352,0.212568,0.212568,0.212568,0.212568,0.212568,0.149708,0.149708,0.149708,0.149708,0.149708,0.7576,0.7576,0.7576,0.7576,0.7576,0.148016,0.148016,0.148016,0.148016,0.148016,0.13,0.13,0.13,0.13,0.13,0.091592,0.091592,0.091592,0.091592,0.091592,0.075092,0.075092,0.075092,0.075092,0.075092,0.062232,0.062232,0.062232,0.062232,0.062232,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828
1.230164,1.230164,1.230164,1.230164,1.230164,0.426708,0.426708,0.426708,0.426708,0.426708,0.270304,0.270304,0.270304,0.270304,0.270304,0.381248,0.381248,0.381248,0.381248,0.381248,0.493484,0.493484,0.493484,0.493484,0.493484,0.441548,0.441548,0.441548,0.441548,0.441548,0.324352,0.324352,0.324352,0.324352,0.324352,0.212568,0.212568,0.212568,0.212568,0.212568,0.149708,0.149708,0.149708,0.149708,0.149708,0.7576,0.7576,0.7576,0.7576,0.7576,0.148016,0.148016,0.148016,0.148016,0.148016,0.13,0.13,0.13,0.13,0.13,0.091592,0.091592,0.091592,0.091592,0.091592,0.075092,0.075092,0.075092,0.075092,0.075092,0.062232,0.062232,0.062232,0.062232,0.062232,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828
1.230164,1.230164,1.230164,1.230164,1.230164,0.426708,0.426708,0.426708,0.426708,0.426708,0.270304,0.270304,0.270304,0.270304,0.270304,0.381248,0.381248,0.381248,0.381248,0.381248,0.493484,0.493484,0.493484,0.493484,0.493484,0.441548,0.441548,0.441548,0.441548,0.441548,0.324352,0.324352,0.324352,0.324352,0.324352,0.212568,0.212568,0.212568,0.212568,0.212568,0.149708,0.149708,0.149708,0.149708,0.149708,0.7576,0.7576,0.7576,0.7576,0.7576,0.148016,0.148016,0.148016,0.148016,0.148016,0.13,0.13,0.13,0.13,0.13,0.091592,0.091592,0.091592,0.091592,0.091592,0.075092,0.075092,0.075092,0.075092,0.075092,0.062232,0.062232,0.062232,0.062232,0.062232,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828
1.230164,1.230164,1.230164,1.230164,1.230164,0.426708,0.426708,0.426708,0.426708,0.426708,0.270304,0.270304,0.270304,0.270304,0.270304,0.381248,0.381248,0.381248,0.381248,0.381248,0.493484,0.493484,0.493484,0.493484,0.493484,0.441548,0.441548,0.441548,0.441548,0.441548,0.324352,0.324352,0.324352,0.324352,0.324352,0.212568,0.212568,0.212568,0.212568,0.212568,0.149708,0.149708,0.149708,0.149708,0.149708,0.7576,0.7576,0.7576,0.7576,0.7576,0.148016,0.148016,0.148016,0.148016,0.148016,0.13,0.13,0.13,0.13,0.13,0.091592,0.091592,0.091592,0.091592,0.091592,0.075092,0.075092,0.075092,0.075092,0.075092,0.062232,0.062232,0.062232,0.062232,0.062232,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828
1.230164,1.230164,1.230164,1.230164,1.230164,0.426708,0.426708,0.426708,0.426708,0.426708,0.270304,0.270304,0.270304,0.270304,0.270304,0.381248,0.381248,0.381248,0.381248,0.381248,0.493484,0.493484,0.493484,0.493484,0.493484,0.441548,0.441548,0.441548,0.441548,0.441548,0.324352,0.324352,0.324352,0.324352,0.324352,0.212568,0.212568,0.212568,0.212568,0.212568,0.149708,0.149708,0.149708,0.149708,0.149708,0.7576,0.7576,0.7576,0.7576,0.7576,0.148016,0.148016,0.148016,0.148016,0.148016,0.13,0.13,0.13,0.13,0.13,0.091592,0.091592,0.091592,0.091592,0.091592,0.075092,0.075092,0.075092,0.075092,0.075092,0.062232,0.062232,0.062232,0.062232,0.062232,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828,0.054828
0.838668,0.838668,0.838668,0.838668,0.838668,0.824824,0.824824,0.824824,0.824824,0.824824,0.304412,0.304412,0.304412,0.304412,0.304412,0.206184,0.206184,0.206184,0.206184,0.206184,0.412112,0.412112,0.412112,0.412112,0.412112,0.454568,0.454568,0.454568,0.454568,0.454568,0.385664,0.385664,0.385664,0.385664,0.385664,0.320396,0.320396,0.320396,0.320396,0.320396,0.191604,0.191604,0.191604,0.191604,0.191604,2.938844,2.938844,2.938844,2.938844,2.938844,0.158,0.158,0.158,0.158,0.158,0.128468,0.128468,0.128468,0.128468,0.128468,0.101592,0.101592,0.101592,0.101592,0.101592,0.07788,0.07788,0.07788,0.07788,0.07788,0.063032,0.063032,0.063032,0.063032,0.063032,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872
0.838668,0.838668,0.838668,0.838668,0.838668,0.824824,0.824824,0.824824,0.824824,0.824824,0.304412,0.304412,0.304412,0.304412,0.304412,0.206184,0.206184,0.206184,0.206184,0.206184,0.412112,0.412112,0.412112,0.412112,0.412112,0.454568,0.454568,0.454568,0.454568,0.454568,0.385664,0.385664,0.385664,0.385664,0.385664,0.320396,0.320396,0.320396,0.320396,0.320396,0.191604,0.191604,0.191604,0.191604,0.191604,2.938844,2.938844,2.938844,2.938844,2.938844,0.158,0.158,0.158,0.158,0.158,0.128468,0.128468,0.128468,0.128468,0.128468,0.101592,0.101592,0.101592,0.101592,0.101592,0.07788,0.07788,0.07788,0.07788,0.07788,0.063032,0.063032,0.063032,0.063032,0.063032,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872
0.838668,0.838668,0.838668,0.838668,0.838668,0.824824,0.824824,0.824824,0.824824,0.824824,0.304412,0.304412,0.304412,0.304412,0.304412,0.206184,0.206184,0.206184,0.206184,0.206184,0.412112,0.412112,0.412112,0.412112,0.412112,0.454568,0.454568,0.454568,0.454568,0.454568,0.385664,0.385664,0.385664,0.385664,0.385664,0.320396,0.320396,0.320396,0.320396,0.320396,0.191604,0.191604,0.191604,0.191604,0.191604,2.938844,2.938844,2.938844,2.938844,2.938844,0.158,0.158,0.158,0.158,0.158,0.128468,0.128468,0.128468,0.128468,0.128468,0.101592,0.101592,0.101592,0.101592,0.101592,0.07788,0.07788,0.07788,0.07788,0.07788,0.063032,0.063032,0.063032,0.063032,0.063032,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872
0.838668,0.838668,0.838668,0.838668,0.838668,0.824824,0.824824,0.824824,0.824824,0.824824,0.304412,0.304412,0.304412,0.304412,0.304412,0.206184,0.206184,0.206184,0.206184,0.206184,0.412112,0.412112,0.412112,0.412112,0.412112,0.454568,0.454568,0.454568,0.454568,0.454568,0.385664,0.385664,0.385664,0.385664,0.385664,0.320396,0.320396,0.320396,0.320396,0.320396,0.191604,0.191604,0.191604,0.191604,0.191604,2.938844,2.938844,2.938844,2.938844,2.938844,0.158,0.158,0.158,0.158,0.158,0.128468,0.128468,0.128468,0.128468,0.128468,0.101592,0.101592,0.101592,0.101592,0.101592,0.07788,0.07788,0.07788,0.07788,0.07788,0.063032,0.063032,0.063032,0.063032,0.063032,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872
0.838668,0.838668,0.838668,0.838668,0.838668,0.824824,0.824824,0.824824,0.824824,0.824824,0.304412,0.304412,0.304412,0.304412,0.304412,0.206184,0.206184,0.206184,0.206184,0.206184,0.412112,0.412112,0.412112,0.412112,0.412112,0.454568,0.454568,0.454568,0.454568,0.454568,0.385664,0.385664,0.385664,0.385664,0.385664,0.320396,0.320396,0.320396,0.320396,0.320396,0.191604,0.191604,0.191604,0.191604,0.191604,2.938844,2.938844,2.938844,2.938844,2.938844,0.158,0.158,0.158,0.158,0.158,0.128468,0.128468,0.128468,0.128468,0.128468,0.101592,0.101592,0.101592,0.101592,0.101592,0.07788,0.07788,0.07788,0.07788,0.07788,0.063032,0.063032,0.063032,0.063032,0.063032,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872,0.054872
