"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
1.168816,1.168816,1.168816,1.168816,1.168816,0.479952,0.479952,0.479952,0.479952,0.479952,0.31692,0.31692,0.31692,0.31692,0.31692,0.40088,0.40088,0.40088,0.40088,0.40088,0.470384,0.470384,0.470384,0.470384,0.470384,0.403384,0.403384,0.403384,0.403384,0.403384,0.32996,0.32996,0.32996,0.32996,0.32996,0.216008,0.216008,0.216008,0.216008,0.216008,0.157876,0.157876,0.157876,0.157876,0.157876,0.82558,0.82558,0.82558,0.82558,0.82558,0.161076,0.161076,0.161076,0.161076,0.161076,0.14824,0.14824,0.14824,0.14824,0.14824,0.107584,0.107584,0.107584,0.107584,0.107584,0.08532,0.08532,0.08532,0.08532,0.08532,0.064616,0.064616,0.064616,0.064616,0.064616,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
1.168816,1.168816,1.168816,1.168816,1.168816,0.479952,0.479952,0.479952,0.479952,0.479952,0.31692,0.31692,0.31692,0.31692,0.31692,0.40088,0.40088,0.40088,0.40088,0.40088,0.470384,0.470384,0.470384,0.470384,0.470384,0.403384,0.403384,0.403384,0.403384,0.403384,0.32996,0.32996,0.32996,0.32996,0.32996,0.216008,0.216008,0.216008,0.216008,0.216008,0.157876,0.157876,0.157876,0.157876,0.157876,0.82558,0.82558,0.82558,0.82558,0.82558,0.161076,0.161076,0.161076,0.161076,0.161076,0.14824,0.14824,0.14824,0.14824,0.14824,0.107584,0.107584,0.107584,0.107584,0.107584,0.08532,0.08532,0.08532,0.08532,0.08532,0.064616,0.064616,0.064616,0.064616,0.064616,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
1.168816,1.168816,1.168816,1.168816,1.168816,0.479952,0.479952,0.479952,0.479952,0.479952,0.31692,0.31692,0.31692,0.31692,0.31692,0.40088,0.40088,0.40088,0.40088,0.40088,0.470384,0.470384,0.470384,0.470384,0.470384,0.403384,0.403384,0.403384,0.403384,0.403384,0.32996,0.32996,0.32996,0.32996,0.32996,0.216008,0.216008,0.216008,0.216008,0.216008,0.157876,0.157876,0.157876,0.157876,0.157876,0.82558,0.82558,0.82558,0.82558,0.82558,0.161076,0.161076,0.161076,0.161076,0.161076,0.14824,0.14824,0.14824,0.14824,0.14824,0.107584,0.107584,0.107584,0.107584,0.107584,0.08532,0.08532,0.08532,0.08532,0.08532,0.064616,0.064616,0.064616,0.064616,0.064616,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
1.168816,1.168816,1.168816,1.168816,1.168816,0.479952,0.479952,0.479952,0.479952,0.479952,0.31692,0.31692,0.31692,0.31692,0.31692,0.40088,0.40088,0.40088,0.40088,0.40088,0.470384,0.470384,0.470384,0.470384,0.470384,0.403384,0.403384,0.403384,0.403384,0.403384,0.32996,0.32996,0.32996,0.32996,0.32996,0.216008,0.216008,0.216008,0.216008,0.216008,0.157876,0.157876,0.157876,0.157876,0.157876,0.82558,0.82558,0.82558,0.82558,0.82558,0.161076,0.161076,0.161076,0.161076,0.161076,0.14824,0.14824,0.14824,0.14824,0.14824,0.107584,0.107584,0.107584,0.107584,0.107584,0.08532,0.08532,0.08532,0.08532,0.08532,0.064616,0.064616,0.064616,0.064616,0.064616,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
1.168816,1.168816,1.168816,1.168816,1.168816,0.479952,0.479952,0.479952,0.479952,0.479952,0.31692,0.31692,0.31692,0.31692,0.31692,0.40088,0.40088,0.40088,0.40088,0.40088,0.470384,0.470384,0.470384,0.470384,0.470384,0.403384,0.403384,0.403384,0.403384,0.403384,0.32996,0.32996,0.32996,0.32996,0.32996,0.216008,0.216008,0.216008,0.216008,0.216008,0.157876,0.157876,0.157876,0.157876,0.157876,0.82558,0.82558,0.82558,0.82558,0.82558,0.161076,0.161076,0.161076,0.161076,0.161076,0.14824,0.14824,0.14824,0.14824,0.14824,0.107584,0.107584,0.107584,0.107584,0.107584,0.08532,0.08532,0.08532,0.08532,0.08532,0.064616,0.064616,0.064616,0.064616,0.064616,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606,0.05606
0.851824,0.851824,0.851824,0.851824,0.851824,0.869512,0.869512,0.869512,0.869512,0.869512,0.36848,0.36848,0.36848,0.36848,0.36848,0.216688,0.216688,0.216688,0.216688,0.216688,0.3957,0.3957,0.3957,0.3957,0.3957,0.405644,0.405644,0.405644,0.405644,0.405644,0.376708,0.376708,0.376708,0.376708,0.376708,0.305072,0.305072,0.305072,0.305072,0.305072,0.192316,0.192316,0.192316,0.192316,0.192316,2.410372,2.410372,2.410372,2.410372,2.410372,0.157308,0.157308,0.157308,0.157308,0.157308,0.142504,0.142504,0.142504,0.142504,0.142504,0.116924,0.116924,0.116924,0.116924,0.116924,0.0874,0.0874,0.0874,0.0874,0.0874,0.065192,0.065192,0.065192,0.065192,0.065192,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104
0.851824,0.851824,0.851824,0.851824,0.851824,0.869512,0.869512,0.869512,0.869512,0.869512,0.36848,0.36848,0.36848,0.36848,0.36848,0.216688,0.216688,0.216688,0.216688,0.216688,0.3957,0.3957,0.3957,0.3957,0.3957,0.405644,0.405644,0.405644,0.405644,0.405644,0.376708,0.376708,0.376708,0.376708,0.376708,0.305072,0.305072,0.305072,0.305072,0.305072,0.192316,0.192316,0.192316,0.192316,0.192316,2.410372,2.410372,2.410372,2.410372,2.410372,0.157308,0.157308,0.157308,0.157308,0.157308,0.142504,0.142504,0.142504,0.142504,0.142504,0.116924,0.116924,0.116924,0.116924,0.116924,0.0874,0.0874,0.0874,0.0874,0.0874,0.065192,0.065192,0.065192,0.065192,0.065192,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104
0.851824,0.851824,0.851824,0.851824,0.851824,0.869512,0.869512,0.869512,0.869512,0.869512,0.36848,0.36848,0.36848,0.36848,0.36848,0.216688,0.216688,0.216688,0.216688,0.216688,0.3957,0.3957,0.3957,0.3957,0.3957,0.405644,0.405644,0.405644,0.405644,0.405644,0.376708,0.376708,0.376708,0.376708,0.376708,0.305072,0.305072,0.305072,0.305072,0.305072,0.192316,0.192316,0.192316,0.192316,0.192316,2.410372,2.410372,2.410372,2.410372,2.410372,0.157308,0.157308,0.157308,0.157308,0.157308,0.142504,0.142504,0.142504,0.142504,0.142504,0.116924,0.116924,0.116924,0.116924,0.116924,0.0874,0.0874,0.0874,0.0874,0.0874,0.065192,0.065192,0.065192,0.065192,0.065192,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104
0.851824,0.851824,0.851824,0.851824,0.851824,0.869512,0.869512,0.869512,0.869512,0.869512,0.36848,0.36848,0.36848,0.36848,0.36848,0.216688,0.216688,0.216688,0.216688,0.216688,0.3957,0.3957,0.3957,0.3957,0.3957,0.405644,0.405644,0.405644,0.405644,0.405644,0.376708,0.376708,0.376708,0.376708,0.376708,0.305072,0.305072,0.305072,0.305072,0.305072,0.192316,0.192316,0.192316,0.192316,0.192316,2.410372,2.410372,2.410372,2.410372,2.410372,0.157308,0.157308,0.157308,0.157308,0.157308,0.142504,0.142504,0.142504,0.142504,0.142504,0.116924,0.116924,0.116924,0.116924,0.116924,0.0874,0.0874,0.0874,0.0874,0.0874,0.065192,0.065192,0.065192,0.065192,0.065192,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104
0.851824,0.851824,0.851824,0.851824,0.851824,0.869512,0.869512,0.869512,0.869512,0.869512,0.36848,0.36848,0.36848,0.36848,0.36848,0.216688,0.216688,0.216688,0.216688,0.216688,0.3957,0.3957,0.3957,0.3957,0.3957,0.405644,0.405644,0.405644,0.405644,0.405644,0.376708,0.376708,0.376708,0.376708,0.376708,0.305072,0.305072,0.305072,0.305072,0.305072,0.192316,0.192316,0.192316,0.192316,0.192316,2.410372,2.410372,2.410372,2.410372,2.410372,0.157308,0.157308,0.157308,0.157308,0.157308,0.142504,0.142504,0.142504,0.142504,0.142504,0.116924,0.116924,0.116924,0.116924,0.116924,0.0874,0.0874,0.0874,0.0874,0.0874,0.065192,0.065192,0.065192,0.065192,0.065192,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104,0.056104
