"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
0.932144,0.932144,0.932144,0.932144,0.932144,0.469952,0.469952,0.469952,0.469952,0.469952,0.302756,0.302756,0.302756,0.302756,0.302756,0.397128,0.397128,0.397128,0.397128,0.397128,0.509088,0.509088,0.509088,0.509088,0.509088,0.454256,0.454256,0.454256,0.454256,0.454256,0.333036,0.333036,0.333036,0.333036,0.333036,0.208644,0.208644,0.208644,0.208644,0.208644,0.13068,0.13068,0.13068,0.13068,0.13068,0.768292,0.768292,0.768292,0.768292,0.768292,0.133176,0.133176,0.133176,0.133176,0.133176,0.12408,0.12408,0.12408,0.12408,0.12408,0.098892,0.098892,0.098892,0.098892,0.098892,0.079448,0.079448,0.079448,0.079448,0.079448,0.063416,0.063416,0.063416,0.063416,0.063416,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888
0.932144,0.932144,0.932144,0.932144,0.932144,0.469952,0.469952,0.469952,0.469952,0.469952,0.302756,0.302756,0.302756,0.302756,0.302756,0.397128,0.397128,0.397128,0.397128,0.397128,0.509088,0.509088,0.509088,0.509088,0.509088,0.454256,0.454256,0.454256,0.454256,0.454256,0.333036,0.333036,0.333036,0.333036,0.333036,0.208644,0.208644,0.208644,0.208644,0.208644,0.13068,0.13068,0.13068,0.13068,0.13068,0.768292,0.768292,0.768292,0.768292,0.768292,0.133176,0.133176,0.133176,0.133176,0.133176,0.12408,0.12408,0.12408,0.12408,0.12408,0.098892,0.098892,0.098892,0.098892,0.098892,0.079448,0.079448,0.079448,0.079448,0.079448,0.063416,0.063416,0.063416,0.063416,0.063416,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888
0.932144,0.932144,0.932144,0.932144,0.932144,0.469952,0.469952,0.469952,0.469952,0.469952,0.302756,0.302756,0.302756,0.302756,0.302756,0.397128,0.397128,0.397128,0.397128,0.397128,0.509088,0.509088,0.509088,0.509088,0.509088,0.454256,0.454256,0.454256,0.454256,0.454256,0.333036,0.333036,0.333036,0.333036,0.333036,0.208644,0.208644,0.208644,0.208644,0.208644,0.13068,0.13068,0.13068,0.13068,0.13068,0.768292,0.768292,0.768292,0.768292,0.768292,0.133176,0.133176,0.133176,0.133176,0.133176,0.12408,0.12408,0.12408,0.12408,0.12408,0.098892,0.098892,0.098892,0.098892,0.098892,0.079448,0.079448,0.079448,0.079448,0.079448,0.063416,0.063416,0.063416,0.063416,0.063416,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888
0.932144,0.932144,0.932144,0.932144,0.932144,0.469952,0.469952,0.469952,0.469952,0.469952,0.302756,0.302756,0.302756,0.302756,0.302756,0.397128,0.397128,0.397128,0.397128,0.397128,0.509088,0.509088,0.509088,0.509088,0.509088,0.454256,0.454256,0.454256,0.454256,0.454256,0.333036,0.333036,0.333036,0.333036,0.333036,0.208644,0.208644,0.208644,0.208644,0.208644,0.13068,0.13068,0.13068,0.13068,0.13068,0.768292,0.768292,0.768292,0.768292,0.768292,0.133176,0.133176,0.133176,0.133176,0.133176,0.12408,0.12408,0.12408,0.12408,0.12408,0.098892,0.098892,0.098892,0.098892,0.098892,0.079448,0.079448,0.079448,0.079448,0.079448,0.063416,0.063416,0.063416,0.063416,0.063416,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888
0.932144,0.932144,0.932144,0.932144,0.932144,0.469952,0.469952,0.469952,0.469952,0.469952,0.302756,0.302756,0.302756,0.302756,0.302756,0.397128,0.397128,0.397128,0.397128,0.397128,0.509088,0.509088,0.509088,0.509088,0.509088,0.454256,0.454256,0.454256,0.454256,0.454256,0.333036,0.333036,0.333036,0.333036,0.333036,0.208644,0.208644,0.208644,0.208644,0.208644,0.13068,0.13068,0.13068,0.13068,0.13068,0.768292,0.768292,0.768292,0.768292,0.768292,0.133176,0.133176,0.133176,0.133176,0.133176,0.12408,0.12408,0.12408,0.12408,0.12408,0.098892,0.098892,0.098892,0.098892,0.098892,0.079448,0.079448,0.079448,0.079448,0.079448,0.063416,0.063416,0.063416,0.063416,0.063416,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888,0.054888
0.836428,0.836428,0.836428,0.836428,0.836428,0.860592,0.860592,0.860592,0.860592,0.860592,0.352132,0.352132,0.352132,0.352132,0.352132,0.220764,0.220764,0.220764,0.220764,0.220764,0.440124,0.440124,0.440124,0.440124,0.440124,0.48106,0.48106,0.48106,0.48106,0.48106,0.402128,0.402128,0.402128,0.402128,0.402128,0.311368,0.311368,0.311368,0.311368,0.311368,0.178528,0.178528,0.178528,0.178528,0.178528,2.615804,2.615804,2.615804,2.615804,2.615804,0.148012,0.148012,0.148012,0.148012,0.148012,0.129044,0.129044,0.129044,0.129044,0.129044,0.110036,0.110036,0.110036,0.110036,0.110036,0.082636,0.082636,0.082636,0.082636,0.082636,0.064568,0.064568,0.064568,0.064568,0.064568,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912
0.836428,0.836428,0.836428,0.836428,0.836428,0.860592,0.860592,0.860592,0.860592,0.860592,0.352132,0.352132,0.352132,0.352132,0.352132,0.220764,0.220764,0.220764,0.220764,0.220764,0.440124,0.440124,0.440124,0.440124,0.440124,0.48106,0.48106,0.48106,0.48106,0.48106,0.402128,0.402128,0.402128,0.402128,0.402128,0.311368,0.311368,0.311368,0.311368,0.311368,0.178528,0.178528,0.178528,0.178528,0.178528,2.615804,2.615804,2.615804,2.615804,2.615804,0.148012,0.148012,0.148012,0.148012,0.148012,0.129044,0.129044,0.129044,0.129044,0.129044,0.110036,0.110036,0.110036,0.110036,0.110036,0.082636,0.082636,0.082636,0.082636,0.082636,0.064568,0.064568,0.064568,0.064568,0.064568,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912
0.836428,0.836428,0.836428,0.836428,0.836428,0.860592,0.860592,0.860592,0.860592,0.860592,0.352132,0.352132,0.352132,0.352132,0.352132,0.220764,0.220764,0.220764,0.220764,0.220764,0.440124,0.440124,0.440124,0.440124,0.440124,0.48106,0.48106,0.48106,0.48106,0.48106,0.402128,0.402128,0.402128,0.402128,0.402128,0.311368,0.311368,0.311368,0.311368,0.311368,0.178528,0.178528,0.178528,0.178528,0.178528,2.615804,2.615804,2.615804,2.615804,2.615804,0.148012,0.148012,0.148012,0.148012,0.148012,0.129044,0.129044,0.129044,0.129044,0.129044,0.110036,0.110036,0.110036,0.110036,0.110036,0.082636,0.082636,0.082636,0.082636,0.082636,0.064568,0.064568,0.064568,0.064568,0.064568,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912
0.836428,0.836428,0.836428,0.836428,0.836428,0.860592,0.860592,0.860592,0.860592,0.860592,0.352132,0.352132,0.352132,0.352132,0.352132,0.220764,0.220764,0.220764,0.220764,0.220764,0.440124,0.440124,0.440124,0.440124,0.440124,0.48106,0.48106,0.48106,0.48106,0.48106,0.402128,0.402128,0.402128,0.402128,0.402128,0.311368,0.311368,0.311368,0.311368,0.311368,0.178528,0.178528,0.178528,0.178528,0.178528,2.615804,2.615804,2.615804,2.615804,2.615804,0.148012,0.148012,0.148012,0.148012,0.148012,0.129044,0.129044,0.129044,0.129044,0.129044,0.110036,0.110036,0.110036,0.110036,0.110036,0.082636,0.082636,0.082636,0.082636,0.082636,0.064568,0.064568,0.064568,0.064568,0.064568,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912
0.836428,0.836428,0.836428,0.836428,0.836428,0.860592,0.860592,0.860592,0.860592,0.860592,0.352132,0.352132,0.352132,0.352132,0.352132,0.220764,0.220764,0.220764,0.220764,0.220764,0.440124,0.440124,0.440124,0.440124,0.440124,0.48106,0.48106,0.48106,0.48106,0.48106,0.402128,0.402128,0.402128,0.402128,0.402128,0.311368,0.311368,0.311368,0.311368,0.311368,0.178528,0.178528,0.178528,0.178528,0.178528,2.615804,2.615804,2.615804,2.615804,2.615804,0.148012,0.148012,0.148012,0.148012,0.148012,0.129044,0.129044,0.129044,0.129044,0.129044,0.110036,0.110036,0.110036,0.110036,0.110036,0.082636,0.082636,0.082636,0.082636,0.082636,0.064568,0.064568,0.064568,0.064568,0.064568,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912,0.054912
